Key,KO,EN,JA
achievements.land_goblin.description,제 1구역: 고블린 영지를 격파했습니다.,"Sector 1: Defeated the Goblin Territory.",第1区域：ゴブリン領地を撃破しました。
achievements.land_goblin.displayName,고블린 영지 정복,Conquer Goblin Territory,ゴブリン領地征服
achievements.wave_30.description,웨이브 30을 모두 클리어하세요.,Clear all of Wave 30.,ウェーブ30をすべてクリアしてください。
achievements.wave_30.displayName,전설의 수호자,Legendary Guardian,伝説の守護者
achievements.wave_5.description,웨이브 5를 클리어하세요.,Clear Wave 5.,ウェーブ5をクリアしてください。
achievements.wave_5.displayName,첫 관문,First Gate,最初の関門
achievements.wave_50.displayName,불굴의 수호자,Indomitable Guardian,不屈の守護者
achievements.wave_50.description,웨이브 50을 모두 클리어하세요.,Clear all of Wave 50.,ウェーブ50をすべてクリアしてください。
achievements.wave_100.displayName,전설의 벽,Wall of Legend,伝説の壁
achievements.wave_100.description,웨이브 100을 클리어하세요.,Clear Wave 100.,ウェーブ100をクリアしてください。
achievements.wave_150.displayName,신화의 방어자,Mythic Defender,神話の守護者
achievements.wave_150.description,웨이브 150을 클리어하세요.,Clear Wave 150.,ウェーブ150をクリアしてください。
achievements.score_10000.displayName,점수의 달인,Score Master,スコアの達人
achievements.score_10000.description,총 점수 10000점을 달성하세요.,Achieve a total score of 10000.,合計スコア10000点を達成してください。
achievements.hard_clear.displayName,어려움의 정복자,Hard Mode Conqueror,ハード制覇者
achievements.hard_clear.description,어려움 난이도로 클리어하세요.,Clear on Hard difficulty.,ハード難易度でクリアしてください。
achievements.tutorial_master.displayName,튜토리얼 마스터,Tutorial Master,チュートリアルマスター
achievements.tutorial_master.description,튜토리얼을 완료하세요.,Complete the tutorial.,チュートリアルを完了してください。
achievements.land_orc.displayName,오크 영지 정복,Conquer Orc Territory,オーク領地征服
achievements.land_orc.description,제 1구역: 오크 영지를 격파했습니다.,"Sector 1: Defeated the Orc Territory.",第1区域：オーク領地を撃破しました。
achievements.land_tauren.displayName,타우렌 봉우리 정복,Conquer Tauren Peaks,タウレンの峰征服
achievements.land_tauren.description,제 1구역: 타우렌 봉우리를 격파했습니다.,"Sector 1: Defeated the Tauren Peaks.",第1区域：タウレンの峰を撃破しました。
achievements.land_darkelf.displayName,다크엘프 숲 정복,Conquer Dark Elf Forest,ダークエルフの森征服
achievements.land_darkelf.description,제 2구역: 다크엘프 숲을 격파했습니다.,"Sector 2: Defeated the Dark Elf Forest.",第2区域：ダークエルフの森を撃破しました。
achievements.land_fire.displayName,화염의 땅 정복,Conquer Firelands,火炎の地征服
