shop.title,영웅 상점,Hero Shop,英雄ショップ
shop.subtitle,"영웅을 영입하거나 방어선을 강화하고, 크리스탈 상품을 구매하세요.","Recruit heroes, strengthen defenses, and purchase crystal items.","英雄を雇ったり、防衛線を強化したり、クリスタル商品を購入したりできます。"
shop.tab.gold,영웅 영입 (Gold),Recruit Heroes (Gold),英雄雇用 (Gold)
shop.tab.wall,벽 강화 상점 (Talents),Wall Upgrade (Talents),壁強化ショップ (Talents)
shop.tab.crystal,크리스탈 상점 (Crystal),Crystal Shop (Crystal),クリスタルショップ (Crystal)
shop.tab.manghongu,🔮 망혼구 (亡魂球),🔮 Soul Orb (亡魂球),🔮 亡魂球
shop.searchPlaceholder,"영웅 이름, 종족(오크), 원소(화염) 검색...","Search name, race(orc), element(fire)...","英雄の名前、種族（オーク）、属性（火炎）で検索..."
shop.filter.allRoles,전체 역할,All Roles,すべての役割
shop.filter.allGrades,전체 등급,All Grades,すべてのランク
shop.currency.owned,보유 재화,Owned Currency,所持財貨
shop.summon.title,⚡ 영웅 소환,⚡ Summon Hero,⚡ 英雄召喚
shop.summon.desc,랜덤한 영웅을 획득합니다. 이미 보유 중이면 골드로 반환됩니다.,Obtain a random hero. Refunded in gold if already owned.,ランダムな英雄を獲得します。既に所持している場合はゴールドで返却されます。
shop.summon.r,R 등급 영웅 소환,Summon R Grade Hero,Rランク英雄召喚
shop.summon.sr,SR 등급 영웅 소환,Summon SR Grade Hero,SRランク英雄召喚
shop.summon.ssr,SSR 등급 영웅 소환,Summon SSR Grade Hero,SSRランク英雄召喚
shop.summon.rDesc,"일반 등급 영웅 중 1명을 무작위로 소환합니다.","Summons 1 random Normal grade hero.","一般ランクの英雄から1人をランダムに召喚します。"
shop.summon.srDesc,"희귀 등급 영웅 중 1명을 무작위로 소환합니다.","Summons 1 random Rare grade hero.","希少ランクの英雄から1人をランダムに召喚します。"
shop.summon.ssrDesc,"전설 등급 영웅 중 1명을 무작위로 소환합니다.","Summons 1 random Legendary grade hero.","伝説ランクの英雄から1人をランダムに召喚します。"
shop.exchange.title,💰 골드 교환,💰 Exchange Gold,💰 ゴールド交換
shop.exchange.desc,크리스탈을 골드로 환전합니다. 대량 구매일수록 보너스가 늘어납니다.,Exchange crystals for gold. Bulk purchases grant more bonuses.,クリスタルをゴールドに換金します。大量購入ほどボーナスが増えます。
shop.exchange.s,골드 꾸러미 (소),Small Gold Pouch,ゴールドの袋（小）
shop.exchange.m,골드 꾸러미 (중),Medium Gold Pouch,ゴールドの袋（中）
shop.exchange.l,골드 꾸러미 (대),Large Gold Pouch,ゴールドの袋（大）
