Key,KO,EN,JA
heroes.anub.lore,"지하 군주.",The Crypt Lord.,地下の君主。
heroes.anub.name,"아눕",Anub,アヌブ
heroes.anub.routes.protection.name,"방어",Protection,防御
heroes.anub.routes.protection.variantDesc,"피격 시 {value}% 반사.",Reflects {value}% of damage when hit.,"被ダメージの{value}%を反射する。"
heroes.anub.routes.protection.variantName,"가시 껍질",Spiked Carapace,棘の甲羅
heroes.anub.skills.carrion_beetles.desc,"벌레 소환+회복",Summons beetles and restores health.,蟲を召喚して回復する。
heroes.anub.skills.carrion_beetles.name,"송장 벌레",Carrion Beetles,死骸虫
heroes.anub.skills.impale.desc,"스턴",Stun,スタン
heroes.anub.skills.impale.name,"꿰뚫기",Impale,串刺し
heroes.anub.skills.iron_carapace.desc,"받는 피해 25% 감소",Reduces damage taken by 25%.,被ダメージを25%減少させる。
heroes.anub.skills.iron_carapace.name,"강철 껍질",Iron Carapace,鋼鉄の甲羅
heroes.anub.skills.locust_swarm.desc,"광역 흡혈",AoE Life Steal.,広範囲吸血。
heroes.anub.skills.locust_swarm.name,"메뚜기 떼",Locust Swarm,イナゴの大群
heroes.anub.skills.underground_assault.desc,"광역 ATK×5 피해+기절",Deals ATK×5 AoE damage and stuns.,広範囲に攻撃力×5のダメージとスタンを与える。
heroes.anub.skills.underground_assault.name,"지하 강습",Underground Assault,地下強襲
heroes.ar_gorg.lore,"전설의 오크 전쟁족장. 오크 부족 전체가 그의 이름 아래 뭉친다. 그의 포효 하나에 전장이 뒤흔들린다.",The legendary Orc Warchief. All Orc clans unite under his name. A single roar shakes the battlefield.,伝説のオーク大族長。すべてのオーク部族が彼の名の下に集う。彼の一喝で戦場が震撼する。
heroes.ar_gorg.name,"고르그 굳주먹",Gorg Ironfist,ゴーグ・アイアンフィスト
heroes.ar_gorg.routes.farseer.name,"정령전사",Spirit Warrior,精霊戦士
heroes.ar_gorg.routes.farseer.variantDesc,"치유 시 {value}% 확률로 치유량 2배.",When healing, {value}% chance to double the amount.,回復時、{value}%の確率で回復量が2倍になる。
heroes.ar_gorg.routes.farseer.variantName,"대지의 정령",Earth Spirit,大地の精霊
heroes.ar_gorg.routes.tank.name,"강철방패",Iron Shield,鋼鉄の盾
heroes.ar_gorg.routes.tank.variantDesc,"받는 피해 {value}% 감소.",Reduces damage taken by {value}%.,被ダメージを{value}%減少させる。
heroes.ar_gorg.routes.tank.variantName,"불굴의 오크",Indomitable Orc,不屈のオーク
heroes.ar_gorg.routes.warchief.name,"전쟁족장",Warchief,大族長
heroes.ar_gorg.routes.warchief.variantDesc,"처치 시 {value}% 확률로 즉시 재공격.",When killing an enemy, {value}% chance to attack again immediately.,敵を倒した際、{value}%の確率で即座に再攻撃する。
heroes.ar_gorg.routes.warchief.variantName,"전쟁족장의 의지",Will of the Warchief,大族長の意志
heroes.ar_gorg.skills.avatar.desc,"패시브: HP 40% 이하 시 공격력 +50%, 흡혈 +20%",Passive: Increases ATK by 50% and Life Steal by 20% when HP is below 40%.,パッシブ：HP40%以下の時、攻撃力+50%、吸血+20%
heroes.ar_gorg.skills.avatar.name,"아바타",Avatar,アバター
heroes.ar_gorg.skills.bladestorm.desc,"주변 130px 모든 적 ATK×6 회전베기",Deals ATK×6 damage to all enemies within 130px with a whirlwind attack.,周囲130pxのすべての敵に攻撃力×6の回転斬りダメージ。
heroes.ar_gorg.skills.bladestorm.name,"블레이드스톰",Bladestorm,ブレードストーム
heroes.ar_gorg.skills.chain_lightning.desc,"적 최대 3명에게 ATK×4 연쇄 피해",Deals ATK×4 chain damage to up to 3 enemies.,最大3体の敵に攻撃力×4の連鎖ダメージ。
heroes.ar_gorg.skills.chain_lightning.name,"연쇄 번개",Chain Lightning,連鎖稲妻
heroes.ar_gorg.skills.deathwish.desc,"오크 아군 모두에게 공격력 +25% 오라 [패시브]",Passive: Grants a +25% ATK aura to all Orc allies.,パッシブ：オークの味方全員に攻撃力+25%のオーラを付与。
heroes.ar_gorg.skills.deathwish.name,"죽음의 소원",Death Wish,デスウィッシュ
heroes.ar_gorg.skills.demoralizing_shout.desc,"주변 적 공격력 30% 감소",Reduces the ATK of nearby enemies by 30%.,周囲の敵の攻撃力を30%減少させる。
heroes.ar_gorg.skills.demoralizing_shout.name,"사기 저하의 외침",Demoralizing Shout,士気低下の叫び
heroes.ar_gorg.skills.earthquake.desc,"모든 적 4초 슬로우 + ATK×3 광역 피해",Slows all enemies for 4s and deals ATK×3 AoE damage.,すべての敵に4秒間のスロウと攻撃力×3の広範囲ダメージ。
heroes.ar_gorg.skills.earthquake.name,"대지진",Earthquake,大地震
heroes.ar_gorg.skills.healing_rain.desc,"전체 아군 ATK×4 치유",Heals all allies for ATK×4.,味方全員を攻撃力×4回復。
heroes.ar_gorg.skills.healing_rain.name,"치유의 비",Healing Rain,癒しの雨
